extractor,activation_function,optimizer,seq_len,model,accuracy,time,f1,recall,precision
InceptionExtractor,relu,adam,10,gru1,0.49899783730506897,23.705836248397826,0.3834922926247148,0.4666524762310203,0.4154923823164887
InceptionExtractor,relu,adam,10,gru2,0.47761815786361694,17.602517890930176,0.37681426546209257,0.45891868880374626,0.43711842940392764
InceptionExtractor,relu,adam,10,lstm1,0.5282278060913086,12.000638270378113,0.45603350647453655,0.4949623953455371,0.4626066142470007
InceptionExtractor,relu,adam,10,lstm2,0.48429930210113525,20.429800629615784,0.3870872909950209,0.4706257982120051,0.34446234471786846
InceptionExtractor,relu,adam,20,gru1,0.49883079528808594,11.457312107086182,0.40325049007456915,0.4867605161722809,0.43622220410613766
InceptionExtractor,relu,adam,20,gru2,0.5191247463226318,15.581282925605773,0.4162049867336116,0.5098039215686274,0.41603412269208573
InceptionExtractor,relu,adam,20,lstm1,0.5526975393295288,12.070837783813477,0.5290051983527732,0.560834590246355,0.5875270147922921
InceptionExtractor,relu,adam,20,lstm2,0.3130115270614624,16.374795460700987,0.18894332278807505,0.2792022792022792,0.1920967569492666
InceptionExtractor,relu,adam,50,gru1,0.5353265404701233,11.779870963096618,0.5373175888265843,0.5940358580314673,0.5675159823388746
InceptionExtractor,relu,adam,50,gru2,0.4769500494003296,15.760021352767945,0.43541803819551894,0.539699963410172,0.39346743967239484
InceptionExtractor,relu,adam,50,lstm1,0.5158677101135254,11.828101849555969,0.44931139382819285,0.5340285400658616,0.4267605988050727
InceptionExtractor,relu,adam,50,lstm2,0.5268080830574036,17.644006776809693,0.3805414152045597,0.4919502378338822,0.33752512755774167
InceptionExtractor,relu,sgd,10,gru1,0.521797239780426,11.558600544929504,0.5237519665173007,0.5307222931744005,0.6362132512342303
InceptionExtractor,relu,sgd,10,gru2,0.5531150698661804,14.391160225868225,0.4133686313659981,0.44579253583085,0.4361061408862487
InceptionExtractor,relu,sgd,10,lstm1,0.5230499505996704,11.409113836288451,0.43611536372137805,0.47651482900525044,0.4537557347901202
InceptionExtractor,relu,sgd,10,lstm2,0.5687322616577148,16.068393778800964,0.42452843391169887,0.4506172839506173,0.439405844565368
InceptionExtractor,relu,sgd,20,gru1,0.5413395762443542,11.389774918556213,0.4338240294423201,0.46405228758169936,0.4582608689571304
InceptionExtractor,relu,sgd,20,gru2,0.5673125386238098,14.108510637283326,0.42055559158424244,0.4521535109770404,0.4298780257709871
InceptionExtractor,relu,sgd,20,lstm1,0.5189577341079712,11.557610392570496,0.4634435508602941,0.500335176805765,0.4478133499800212
InceptionExtractor,relu,sgd,20,lstm2,0.587689995765686,15.847725248336792,0.4312801860413168,0.4555052790346908,0.5937732686574309
InceptionExtractor,relu,sgd,50,gru1,0.542425274848938,11.573600506782531,0.5386331364577593,0.5254299304793267,0.6752264502119175
InceptionExtractor,relu,sgd,50,gru2,0.5643895268440247,13.82363955974579,0.3476539933681604,0.36717892425905596,0.4221894488549377
InceptionExtractor,relu,sgd,50,lstm1,0.5316519141197205,11.717100977897644,0.46544076236294135,0.4990852542993048,0.6652962599081433
InceptionExtractor,relu,sgd,50,lstm2,0.5789210200309753,15.37238507270813,0.3362111890583766,0.3536406878887669,0.4279657548945084
InceptionExtractor,relu,adagrad,10,gru1,0.46709537506103516,12.212811923027038,0.4546282979237754,0.49176954732510286,0.5832234333817071
