extractor,activation_function,optimizer,seq_len,model,accuracy,time,f1,recall,precision
MobileNetV2Extractor,relu,adam,10,gru1,1.0,60.82811975479126,1.0,1.0,1.0
MobileNetV2Extractor,relu,adam,10,gru2,1.0,47.656250953674316,1.0,1.0,1.0
MobileNetV2Extractor,relu,adam,10,lstm1,1.0,27.531326055526733,1.0,1.0,1.0
MobileNetV2Extractor,relu,adam,10,lstm2,0.9996533393859863,45.234371185302734,1.0,1.0,1.0
MobileNetV2Extractor,relu,adam,20,gru1,1.0,27.93749713897705,1.0,1.0,1.0
MobileNetV2Extractor,relu,adam,20,gru2,1.0,39.843751668930054,1.0,1.0,1.0
MobileNetV2Extractor,relu,adam,20,lstm1,1.0,27.625000476837158,1.0,1.0,1.0
MobileNetV2Extractor,relu,adam,20,lstm2,1.0,54.68750214576721,1.0,1.0,1.0
MobileNetV2Extractor,relu,adam,50,gru1,1.0,21.750000476837158,1.0,1.0,1.0
MobileNetV2Extractor,relu,adam,50,gru2,1.0,43.31249237060547,1.0,1.0,1.0
MobileNetV2Extractor,relu,adam,50,lstm1,1.0,25.156254291534424,1.0,1.0,1.0
MobileNetV2Extractor,relu,adam,50,lstm2,1.0,54.68750190734863,1.0,1.0,1.0
MobileNetV2Extractor,relu,sgd,10,gru1,1.0,27.609375715255737,0.9998437584099784,0.99984375,0.9998438332445392
MobileNetV2Extractor,relu,sgd,10,gru2,1.0,45.390625,1.0,1.0,1.0
MobileNetV2Extractor,relu,sgd,10,lstm1,1.0,29.375000953674316,1.0,1.0,1.0
MobileNetV2Extractor,relu,sgd,10,lstm2,1.0,51.42187428474426,1.0,1.0,1.0
MobileNetV2Extractor,relu,sgd,20,gru1,1.0,27.609375715255737,1.0,1.0,1.0
MobileNetV2Extractor,relu,sgd,20,gru2,1.0,45.593749046325684,1.0,1.0,1.0
MobileNetV2Extractor,relu,sgd,20,lstm1,1.0,29.640623331069946,1.0,1.0,1.0
MobileNetV2Extractor,relu,sgd,20,lstm2,1.0,52.031331062316895,1.0,1.0,1.0
MobileNetV2Extractor,relu,sgd,50,gru1,1.0,27.625000953674316,1.0,1.0,1.0
MobileNetV2Extractor,relu,sgd,50,gru2,1.0,46.18749761581421,1.0,1.0,1.0
