extractor,activation_function,optimizer,seq_len,model,accuracy,time,f1,recall,precision
MobileNetV2Extractor,relu,adam,10,gru1,0.5673960447311401,291.8865432739258,0.508813877517039,0.5666240953597276,0.5964890640523897
MobileNetV2Extractor,relu,adam,10,gru2,0.637798547744751,225.21784710884094,0.6050452287287074,0.6282815382432241,0.694538232373296
MobileNetV2Extractor,relu,adam,10,lstm1,0.6453983783721924,235.8178334236145,0.6391247390307606,0.6436781609195402,0.6741208500416487
MobileNetV2Extractor,relu,adam,10,lstm2,0.558459997177124,242.8590157032013,0.47250021712118423,0.5239108840641408,0.5284751705115442
MobileNetV2Extractor,relu,adam,20,gru1,0.6301987767219543,233.47295379638672,0.6293507760751841,0.6411932294285235,0.6581583199703792
MobileNetV2Extractor,relu,adam,20,gru2,0.6792216300964355,222.26502680778503,0.702479248841175,0.7044578515166751,0.7209031796185248
MobileNetV2Extractor,relu,adam,20,lstm1,0.5751628279685974,226.9929850101471,0.5983598371375484,0.6215015920898274,0.6600004316647388
MobileNetV2Extractor,relu,adam,20,lstm2,0.6580925583839417,237.2167522907257,0.6742442333701131,0.6780626780626781,0.6750470137274187
MobileNetV2Extractor,relu,adam,50,gru1,0.6257725358009338,215.86954402923584,0.640578437598202,0.663739480424442,0.7288404512395426
MobileNetV2Extractor,relu,adam,50,gru2,0.6545849442481995,224.0249011516571,0.687296447655143,0.70801317233809,0.7245546279656032
MobileNetV2Extractor,relu,adam,50,lstm1,0.6648572087287903,240.00079441070557,0.7695186731803896,0.7709476765459202,0.7883092264971517
MobileNetV2Extractor,relu,adam,50,lstm2,0.665358304977417,235.4459593296051,0.6856468335660495,0.7025246981339188,0.7043001443722815
MobileNetV2Extractor,relu,sgd,10,gru1,0.7051110863685608,214.07993578910828,0.6812702915292378,0.6778771108273024,0.6900219010614718
MobileNetV2Extractor,relu,sgd,10,gru2,0.7407716512680054,219.18788290023804,0.7213959665416908,0.7210869873705122,0.767300880496423
MobileNetV2Extractor,relu,sgd,10,lstm1,0.6691164374351501,230.32668781280518,0.6877460974121902,0.6827728111253015,0.7178769438548684
MobileNetV2Extractor,relu,sgd,10,lstm2,0.7442792654037476,228.48143672943115,0.7049975333701242,0.7009365687526607,0.7238530795403552
MobileNetV2Extractor,relu,sgd,20,gru1,0.7052780985832214,215.76117706298828,0.6994247885074657,0.6985084632143456,0.701745495422815
MobileNetV2Extractor,relu,sgd,20,gru2,0.7505428194999695,217.99903559684753,0.7471112641490545,0.7496229260935143,0.7938029264047897
MobileNetV2Extractor,relu,sgd,20,lstm1,0.6946718096733093,225.0668487548828,0.645211258977798,0.6500754147812972,0.6474418347750771
MobileNetV2Extractor,relu,sgd,20,lstm2,0.7229831218719482,235.22626304626465,0.7091549433910747,0.7130886542651248,0.7199198124258
MobileNetV2Extractor,relu,sgd,50,gru1,0.7067813873291016,223.25133299827576,0.7116528288915758,0.7109403585803147,0.7260340291760469
MobileNetV2Extractor,relu,sgd,50,gru2,0.7380157113075256,220.5201952457428,0.7291725835053254,0.739114526161727,0.8185168787142738
MobileNetV2Extractor,relu,sgd,50,lstm1,0.6763821840286255,226.19956469535828,0.7018833720009114,0.716794731064764,0.7307550879875871
MobileNetV2Extractor,relu,sgd,50,lstm2,0.7250710129737854,240.10040616989136,0.7882124986627832,0.7883278448591292,0.7921910156312492
MobileNetV2Extractor,relu,adagrad,10,gru1,0.5429263114929199,236.75199556350708,0.5169839979549379,0.5402298850574713,0.5862314847087081
MobileNetV2Extractor,relu,adagrad,10,gru2,0.60172039270401,238.0435914993286,0.5592264860728823,0.5710231304101036,0.6329431315585751
MobileNetV2Extractor,relu,adagrad,10,lstm1,0.5117754936218262,254.97307777404785,0.49472098161051403,0.5148290052504612,0.5314183117820425
MobileNetV2Extractor,relu,adagrad,10,lstm2,0.6179221868515015,257.4217336177826,0.573156044797098,0.5945083014048531,0.6787485726338129
MobileNetV2Extractor,relu,adagrad,20,gru1,0.5436779856681824,244.3091812133789,0.5227733625815617,0.5486844310373722,0.5773750596406891
