extractor,activation_function,optimizer,seq_len,model,accuracy,time,f1,recall,precision
MovenetExtractor,relu,adam,10,gru1,0.9525047540664673,4.813290850321452,0.9712952251191871,0.97125,0.9713974270788792
MovenetExtractor,relu,adam,10,gru2,0.9734789133071899,6.161325152715047,0.9696568985008976,0.96984375,0.9701873801642126
MovenetExtractor,relu,adam,10,lstm1,0.9623851776123047,3.9143983840942385,0.9603426372670887,0.960625,0.9609871133607555
MovenetExtractor,relu,adam,10,lstm2,0.9443577527999878,6.900662310918173,0.9589820320717388,0.95875,0.9608146020153828
MovenetExtractor,relu,adam,20,gru1,0.9459178447723389,3.558311684926351,0.9637501494444825,0.9634146341463414,0.9660324032177255
MovenetExtractor,relu,adam,20,gru2,0.9339573383331299,6.189515542984009,0.966211217173312,0.9658536585365853,0.9692531541293063
MovenetExtractor,relu,adam,20,lstm1,0.935517430305481,3.7795472939809165,0.9367243895350651,0.9357142857142857,0.9454499462166391
MovenetExtractor,relu,adam,20,lstm2,0.9535447955131531,6.895431073506673,0.9560639922817273,0.9560975609756097,0.9586425327941727
MovenetExtractor,relu,adam,50,gru1,0.9453977942466736,3.7413469791412353,0.9053474569821155,0.9037234042553192,0.9247630119978859
MovenetExtractor,relu,adam,50,gru2,0.9653319716453552,6.765617752075196,0.9742457393369544,0.9739361702127659,0.975820065541822
MovenetExtractor,relu,adam,50,lstm1,0.9440110921859741,4.014152256647746,0.9109533972729099,0.9077127659574468,0.9303870627161768
MovenetExtractor,relu,adam,50,lstm2,0.970705509185791,6.641228977839152,0.9737817077832297,0.973404255319149,0.9760219467247445
MovenetExtractor,relu,sgd,10,gru1,0.8743283152580261,4.0454712549845375,0.9054164285445669,0.90484375,0.9089342700439259
MovenetExtractor,relu,sgd,10,gru2,0.8876755237579346,6.882933966318766,0.8854838864048422,0.885625,0.885352036531404
MovenetExtractor,relu,sgd,10,lstm1,0.8866354823112488,4.151224597295125,0.8991329747344161,0.89875,0.9004429019567862
MovenetExtractor,relu,sgd,10,lstm2,0.870168149471283,5.674086157480875,0.8847819695674167,0.88453125,0.8851746897504575
MovenetExtractor,relu,sgd,20,gru1,0.8755416870117188,3.955518054962158,0.9112456970453533,0.9104529616724739,0.9252072420008672
MovenetExtractor,relu,sgd,20,gru2,0.8875021934509277,6.859658225377401,0.9002243979269366,0.9,0.9006031775347034
MovenetExtractor,relu,sgd,20,lstm1,0.9015427231788635,4.6556331793467205,0.9450216116156861,0.944425087108014,0.9485102444914427
MovenetExtractor,relu,sgd,20,lstm2,0.8672213554382324,6.231616973876953,0.8830366493444545,0.8858885017421603,0.8865220358583863
MovenetExtractor,relu,sgd,50,gru1,0.8743283152580261,4.235793987909953,0.8977544262660112,0.8949468085106383,0.9225346437827344
MovenetExtractor,relu,sgd,50,gru2,0.8895822763442993,6.941533168156941,0.8907849190007746,0.8901595744680851,0.891826441927869
MovenetExtractor,relu,sgd,50,lstm1,0.828046441078186,4.532065105438233,0.8507382211947981,0.8438829787234042,0.9048548293483955
MovenetExtractor,relu,sgd,50,lstm2,0.8828219771385193,6.809994252522786,0.8641481681673507,0.8595744680851064,0.8804934295544404
MovenetExtractor,relu,adagrad,10,gru1,0.795285165309906,4.745111036300659,0.8878486304018245,0.88671875,0.8966376884604199
MovenetExtractor,relu,adagrad,10,gru2,0.8556075692176819,7.857348410288493,0.8879060881256212,0.886875,0.8995288200917309
MovenetExtractor,relu,adagrad,10,lstm1,0.8224995732307434,5.091156101226806,0.8823037418228009,0.88078125,0.8922063060506605
MovenetExtractor,relu,adagrad,10,lstm2,0.8559542298316956,8.526377773284912,0.8957851305564722,0.8953125,0.9007804572754199
MovenetExtractor,relu,adagrad,20,gru1,0.7954584956169128,4.757622448603312,0.8808762427170841,0.8792682926829268,0.9063772082940965
MovenetExtractor,relu,adagrad,20,gru2,0.855434238910675,7.898129908243815,0.8957404887875713,0.8949477351916376,0.9090267584930359
MovenetExtractor,relu,adagrad,20,lstm1,0.8226729035377502,5.13207909266154,0.8504980132542513,0.8480836236933798,0.8987286245742118
MovenetExtractor,relu,adagrad,20,lstm2,0.855434238910675,8.546930567423503,0.8306598854249542,0.8337979094076655,0.8781356321042703
MovenetExtractor,relu,adagrad,50,gru1,0.795285165309906,4.763265450795491,0.8675524075792471,0.8625,0.9056366792924118
MovenetExtractor,relu,adagrad,50,gru2,0.8556075692176819,7.915207576751709,0.8861044908588575,0.8835106382978724,0.9041385402122684
MovenetExtractor,relu,adagrad,50,lstm1,0.8226729035377502,5.192675813039144,0.6501265925269007,0.652127659574468,0.855845061798957
