extractor,activation_function,optimizer,seq_len,model,0
MovenetExtractor,relu,adam,10,gru1,0.4681810736656189
MovenetExtractor,relu,adam,10,gru2,0.47953900694847107
MovenetExtractor,relu,adam,10,lstm1,0.4362786114215851
MovenetExtractor,relu,adam,10,lstm2,0.1621847301721573
MovenetExtractor,relu,adam,20,gru1,0.4722732603549957
MovenetExtractor,relu,adam,20,gru2,0.48638716340065
MovenetExtractor,relu,adam,20,lstm1,0.42233172059059143
MovenetExtractor,relu,adam,20,lstm2,0.4288458228111267
MovenetExtractor,relu,adam,50,gru1,0.44713544845581055
MovenetExtractor,relu,adam,50,gru2,0.4632537066936493
MovenetExtractor,relu,adam,50,lstm1,0.42901286482810974
MovenetExtractor,relu,adam,50,lstm2,0.4178219437599182
MovenetExtractor,relu,sgd,10,gru1,0.427927166223526
MovenetExtractor,relu,sgd,10,gru2,0.43427425622940063
MovenetExtractor,relu,sgd,10,lstm1,0.41673627495765686
MovenetExtractor,relu,sgd,10,lstm2,0.4447970688343048
MovenetExtractor,relu,sgd,20,gru1,0.43001502752304077
MovenetExtractor,relu,sgd,20,gru2,0.43870052695274353
MovenetExtractor,relu,sgd,20,lstm1,0.4174043834209442
MovenetExtractor,relu,sgd,20,lstm2,0.4145648777484894
MovenetExtractor,relu,sgd,50,gru1,0.42867881059646606
MovenetExtractor,relu,sgd,50,gru2,0.4363621175289154
MovenetExtractor,relu,sgd,50,lstm1,0.4044596552848816
MovenetExtractor,relu,sgd,50,lstm2,0.4407048523426056
MovenetExtractor,relu,adagrad,10,gru1,0.3500918745994568
MovenetExtractor,relu,adagrad,10,gru2,0.3890095353126526
MovenetExtractor,relu,adagrad,10,lstm1,0.37815266847610474
MovenetExtractor,relu,adagrad,10,lstm2,0.35209619998931885
MovenetExtractor,relu,adagrad,20,gru1,0.35025888681411743
MovenetExtractor,relu,adagrad,20,gru2,0.3855854272842407
MovenetExtractor,relu,adagrad,20,lstm1,0.3779021203517914
MovenetExtractor,relu,adagrad,20,lstm2,0.35385000705718994
MovenetExtractor,relu,adagrad,50,gru1,0.3496742844581604
